,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Iceland,Iceland,GPE,0.17147081,0.37102735,en,4.10000000,4027754-9,2629691,A,65.00000000,-18.00000000,POLAR,Iceland,GIC
China,China,GPE,0.28228228,0.63363363,en,3.70000000,4009937-4,1814991,A,35.00000000,105.00000000,ASIA,China,EAS
Vienna,Vienna,GPE,-0.23981481,0.76026936,en,3.30000000,4066009-6,2761369,P,48.20849000,16.37208000,EUROPE,Austria,WCE
Russia,Russia,GPE,0.13383838,0.62184343,en,3.30000000,4076899-5,2017370,A,60.00000000,100.00000000,ASIA,Russia,ESB
Milan,Milan,GPE,0.00000000,0.10344828,en,2.90000000,4037100-1,3173435,P,45.46427000,9.18951000,EUROPE,Italy,WCE
the Stubai Glacier,the Stubai Glacier,LOC,-0.14158163,0.16772959,en,2.80000000,,0,,,,,,
Turkey,Turkey,GPE,-0.04464286,0.17857143,en,2.80000000,4061163-2,298795,A,39.00000000,35.00000000,EUROPE-AFRICA,Turkey,MED
Japan,Japan,GPE,0.02615440,0.21482684,en,2.80000000,4028495-5,1861060,A,35.68536000,139.75309000,ASIA,Japan,EAS
Lower Saxony,Lower Saxony,GPE,-0.20238095,0.70833333,en,2.80000000,4042226-4,2862926,A,52.83333000,9.16667000,EUROPE,Germany,WCE
Slovakia,Slovakia,GPE,-0.11538462,0.03846154,en,2.60000000,4055297-4,3057568,A,48.66667000,19.50000000,EUROPE,Slovakia,WCE
Bundesliga,Bundesliga,GPE,-0.35897436,0.35897436,en,2.60000000,,0,,,,,,
Beijing,Beijing,GPE,0.26923077,0.19230769,en,2.60000000,4075971-4,1816670,P,39.90750000,116.39723000,ASIA,China,EAS
Potsdam,Potsdam,GPE,0.13636364,0.55454545,en,2.50000000,4046948-7,2852458,P,52.39886000,13.06566000,EUROPE,Germany,WCE
North Rhine-Westphalia,North Rhine-Westphalia,GPE,-0.04000000,0.04000000,en,2.50000000,4031483-2,2886242,P,50.93333000,6.95000000,EUROPE,Germany,WCE
Baltic Sea,Baltic Sea,LOC,-0.13636364,0.11363636,en,2.20000000,,0,,,,,,
Offenbach,Offenbach,GPE,0.19378307,0.84060847,en,2.10000000,4043359-6,2857807,P,50.10061000,8.76647000,EUROPE,Germany,WCE
Cortina,Cortina,GPE,0.27083333,0.46130952,en,2.10000000,4085339-1,3177952,P,46.53690000,12.13903000,EUROPE,Italy,WCE
Belgium,Belgium,GPE,0.00000000,0.03333333,en,2.00000000,4005406-8,2802361,A,50.75000000,4.50000000,EUROPE,Belgium,WCE
Alpine,Alpine,LOC,-0.09090909,0.36467803,en,2.00000000,,5770732,P,40.45328000,-111.77799000,NORTH-AMERICA,United States,WNA
Sahara,Sahara,LOC,0.18421053,0.80701754,en,1.90000000,,0,,,,,,
Fukushima,Fukushima,GPE,-0.01408825,0.29027113,en,1.90000000,4332074-0,2112923,P,37.75000000,140.46667000,ASIA,Japan,EAS
Friesland,Friesland,GPE,-0.06578947,0.19736842,en,1.90000000,4074085-7,2751792,P,53.20139000,5.80859000,EUROPE,The Netherlands,NEU
Wilhelmshaven,Wilhelmshaven,GPE,-0.06578947,0.19736842,en,1.90000000,4066173-8,2808720,P,53.52998000,8.11253000,EUROPE,Germany,NEU
New York's,New York's,GPE,0.14354067,0.47846890,en,1.90000000,,5107464,P,40.77205000,-73.93014000,NORTH-AMERICA,United States,ENA
Munich,Munich,GPE,0.00000000,0.00000000,en,1.80000000,4245720-8,2867714,P,48.13743000,11.57549000,EUROPE,Germany,WCE
Bremen,Bremen,GPE,-0.05555556,0.05555556,en,1.80000000,4090044-7,2944388,P,53.07582000,8.80717000,EUROPE,Germany,NEU
Bahn,Bahn,GPE,-0.27777778,0.55555556,en,1.80000000,119807-5,2274998,P,6.98528000,-8.85278000,AFRICA,Liberia,WAF
Paris,Paris,GPE,0.00000000,0.27777778,en,1.80000000,4044660-8,2988507,P,48.85341000,2.34880000,EUROPE,France,WCE
Linz,Linz,GPE,-0.27777778,0.44444444,en,1.80000000,4074255-6,2772400,P,48.30639000,14.28611000,EUROPE,Austria,WCE
Adriatic,Adriatic,LOC,0.55555556,0.77777778,en,1.80000000,,0,,,,,,
Netherlands,Netherlands,GPE,0.01851852,0.39814815,en,1.80000000,4042203-3,2750405,A,52.25000000,5.75000000,EUROPE,The Netherlands,NEU
Hesse,Hesse,GPE,-0.04629630,0.67592593,en,1.80000000,4024729-6,12076829,L,51.29553000,9.41321000,EUROPE,Germany,WCE
the Czech Republic,the Czech Republic,GPE,0.00000000,0.00000000,en,1.80000000,,6986495,T,28.44912000,56.84917000,ASIA,Iran,WCA
canton,canton,GPE,0.05882353,0.23529412,en,1.70000000,4020137-5,2660646,P,46.20222000,6.14569000,EUROPE,Switzerland,WCE
Ticino,Ticino,GPE,0.04084967,0.40032680,en,1.70000000,4099915-4,2659836,P,46.01008000,8.96004000,EUROPE,Switzerland,WCE
Upper Austria,Upper Austria,GPE,-0.40000000,0.50000000,en,1.70000000,4074255-6,2772400,P,48.30639000,14.28611000,EUROPE,Austria,WCE
Bulgaria,Bulgaria,GPE,0.00000000,0.05882353,en,1.70000000,4008866-2,732800,A,42.66667000,25.25000000,EUROPE-AFRICA,Bulgaria,MED
the Elbe valley,the Elbe valley,LOC,0.89267677,1.12500000,en,1.60000000,,4141941,H,39.71595000,-75.51214000,NORTH-AMERICA,United States,ENA
Rhine,Rhine,GPE,-0.07031250,0.46093750,en,1.60000000,,12077024,L,49.31885000,8.77012000,EUROPE,Germany,WCE
Iran,Iran,GPE,0.00000000,0.00000000,en,1.60000000,4027653-3,130758,A,32.00000000,53.00000000,ASIA,Iran,WCA
Northern Bavaria,Northern Bavaria,GPE,0.00000000,0.00000000,en,1.30000000,,4267973,P,38.79723000,-97.75560000,NORTH-AMERICA,United States,CNA
Africa,Africa,LOC,-0.07692308,0.69230769,en,1.30000000,,0,,,,,,
Garching,Garching,GPE,0.20979021,0.69930070,en,1.30000000,4092654-0,2922582,P,48.24896000,11.65101000,EUROPE,Germany,WCE
Graz,Graz,GPE,0.02855478,0.44988345,en,1.30000000,4021912-4,2778067,P,47.06667000,15.45000000,EUROPE,Austria,WCE
Splügen,Splügen,GPE,0.23076923,0.57692308,en,1.30000000,,2658527,T,46.50545000,9.33039000,EUROPE,Switzerland,WCE
Spain,Spain,GPE,0.00000000,0.05128205,en,1.30000000,4055964-6,2510769,A,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
Valais,Valais,GPE,0.00000000,0.00000000,en,1.30000000,4064466-2,2658205,A,46.22925000,7.45972000,EUROPE,Switzerland,WCE
Carinthia,Carinthia,GPE,0.18181818,0.65734266,en,1.30000000,4029175-3,10109446,L,46.53005000,14.94999000,EUROPE,Slovenia,WCE
Hamburg,Hamburg,GPE,0.00000000,0.00000000,en,1.30000000,4239189-1,2911298,P,53.55073000,9.99302000,EUROPE,Germany,NEU
Davos,Davos,GPE,0.01282051,0.24358974,en,1.30000000,4011220-2,2661039,P,46.80429000,9.83723000,EUROPE,Switzerland,WCE
Arctic,Arctic,LOC,-0.10576923,0.66292735,en,1.20000000,,0,,,,,,
Zermatt,Zermatt,GPE,0.20833333,0.41666667,en,1.20000000,4108981-9,2657928,P,46.01998000,7.74863000,EUROPE,Switzerland,WCE
Garmisch,Garmisch,GPE,-0.04419192,0.72222222,en,1.20000000,4019275-1,2922530,P,47.49209000,11.09576000,EUROPE,Germany,WCE
Gaißau,Gaißau,GPE,0.00000000,0.50000000,en,1.00000000,416831-8,7872658,A,47.48474000,9.58646000,EUROPE,Switzerland,WCE
east coast,east coast,LOC,-0.14978355,0.62770563,en,1.00000000,,12212303,L,37.02332000,-77.36954000,NORTH-AMERICA,United States,ENA
London,London,GPE,0.00000000,0.00000000,en,1.00000000,4074335-4,2643743,P,51.50853000,-0.12574000,EUROPE,United Kingdom,NEU
Silvretta Montafon,Silvretta Montafon,LOC,0.00000000,0.00000000,en,1.00000000,,9257303,S,46.98690000,10.02713000,EUROPE,Austria,WCE
Tuttlingen,Tuttlingen,GPE,0.00000000,0.00000000,en,1.00000000,4061293-4,2820693,P,47.98464000,8.81770000,EUROPE,Germany,WCE
Stuttgart +++,Stuttgart +++,GPE,0.04545455,0.23333333,en,1.00000000,,0,,,,,,
Great Britain,Great Britain,GPE,0.32142857,0.57380952,en,1.00000000,4022153-2,2635167,A,54.75844000,-2.69531000,EUROPE,United Kingdom,NEU
Trento,Trento,GPE,0.20000000,1.00000000,en,1.00000000,4078405-8,3165243,P,46.06787000,11.12108000,EUROPE,Italy,WCE
the GdP union,the GdP union,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Vorarlberg,Vorarlberg,GPE,-0.16666667,0.16666667,en,1.00000000,4063944-7,2762300,A,47.25000000,9.91667000,EUROPE,Austria,WCE
Fellbach,Fellbach,GPE,0.06818182,0.30000000,en,1.00000000,4016707-0,2927268,P,48.80912000,9.27697000,EUROPE,Germany,WCE
Stuben,Stuben,GPE,-0.10000000,0.30000000,en,1.00000000,,4926796,A,41.64387000,-85.00077000,NORTH-AMERICA,United States,ENA
Los Angeles,Los Angeles,GPE,-0.19166667,0.53333333,en,1.00000000,4036361-2,5368361,P,34.05223000,-118.24368000,NORTH-AMERICA,United States,WNA
LUCERNE,LUCERNE,GPE,0.32424242,0.79191919,en,1.00000000,4036733-2,2659811,P,47.05048000,8.30635000,EUROPE,Switzerland,WCE
Melendugno,Melendugno,GPE,0.35000000,0.65000000,en,1.00000000,4461353-2,3173630,P,40.27252000,18.33798000,EUROPE-AFRICA,Italy,MED
GÜNZBURG,GÜNZBURG,GPE,0.32424242,0.79191919,en,1.00000000,4022458-2,2913555,P,48.45599000,10.27695000,EUROPE,Germany,WCE
Puglia,Puglia,GPE,0.50000000,1.00000000,en,1.00000000,4085139-4,3180792,P,41.21954000,16.06768000,EUROPE-AFRICA,Italy,MED
Moscow,Moscow,GPE,0.15000000,0.15000000,en,1.00000000,4074987-3,524901,P,55.75222000,37.61556000,EUROPE,Russia,WCE
Fiala,Fiala,GPE,0.00000000,0.00000000,en,1.00000000,,661363,P,64.16667000,24.30000000,EUROPE,Finland,NEU
